,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,,,,,,,,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,,,960.0,,,,,,,,1362.0,1472.0,,,,,1581.6666666666667,,,,1251.0,,
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,181.75,235.0,272.0,161.0,,,212.0,248.0,,164.5,360.5,314.3333333333333,255.76470588235293,222.66666666666666,230.47619047619048,217.7,332.1333333333333,261.27272727272725,411.1333333333333,223.75,206.8,384.25,251.42857142857142,
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,98.0,193.0,,473.5,299.3333333333333,,,,462.5,,78.0,2840.1666666666665,890.5,1682.0,640.1666666666666,662.5,561.8461538461538,858.7272727272727,936.75,952.0,2551.6666666666665,141.0,86.33333333333333,73.0
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,,,,,,,,,,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,,,,,957.0,,,,,,,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,969.0,,,,,,,,1146.0,,,,,1142.0,1421.0,1016.25,936.0,,1334.0,,979.0,,
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,841.0,,,,,,,,,,,,,,672.0,914.0,1050.5,901.0,703.0,,,,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,2161.0,,,,1307.0,,,,1518.0,,,,,,,,1739.6666666666667,,1733.0,,1892.0,,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,597.3333333333334,,,,,,,,,,,,491.0,1439.0,387.0,,,,389.0,331.0,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,,,,,,,,,,497.0,,532.25,660.0,,,,,1125.0,,,,
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,,,,,,,,,,,,,,,,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,,,,,596.0,661.0,524.0,545.0,869.4,756.0,526.0,510.0,620.0,,396.5,,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,256.5,362.0,,222.0,,208.0,,,280.0,,245.0,450.0,523.0,222.0,252.0,276.5,345.9,216.75,322.2,197.5,873.0,,171.0,
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,,,,,,,,,,,,,,86.0,,93.0,159.0,253.0,159.5,,,,85.0
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,701.2,1316.5,304.0,,,,,,,380.0,262.0,278.5,420.6,477.75,,390.0,330.0,505.0,492.0,381.5,766.6666666666666,352.0,285.0,473.0
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,,,,,,,,,,,,,,,1762.0,,,,,,,,,
6138,Gauthier / de Lorimier,45.53167355,-73.56541336,,,,,,,,,,,,,,,,,,,,,857.0,,,
6095,Chomedey / de Maisonneuve,45.49180028,-73.58400643,437.6666666666667,,315.0,377.0,412.0,,,,,2133.0,465.3333333333333,442.4117647058824,499.54545454545456,423.73333333333335,500.8125,589.3684210526316,433.1666666666667,583.0,488.42857142857144,395.0,452.0,432.5,361.5,442.0
6005,de la Cathédrale / René-Lévesque,45.49923715,-73.56944203,,,,,,,177.0,,,,,,,332.0,226.0,,,,,283.0,,1543.5,,
6072,Metcalfe / de Maisonneuve,45.50171495,-73.57413054,,,,,,122.0,,79.0,,,,,122.0,97.0,,,131.0,,,286.0,,,,
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.510659999999994,-73.56497,817.875,499.0,425.0,896.5,,,,,,,,,599.75,515.5,911.2,611.8571428571429,565.5714285714286,1009.1428571428571,744.0666666666667,671.4,610.0,,,572.0
6710,Georges-Baril / Fleury,45.55837563,-73.65884408,,,,,,,,,,,,,,,,,,,,,,,,
7005,Marquette / Fleury,45.56735206,-73.65378745,,,,,,,,,,,,,,,,,,,,,,,,
6191,St-Zotique / Clark,45.531401,-73.612674,,,,,,,,,,1523.0,,,,,,,,,,,,,,
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648,,,,,,,,,,,,,,1902.5,,,,,,,,,,
6061,McGill College / Ste-Catherine,45.50192926,-73.57145101,,,,,,,111.0,,,154.0,118.0,154.0,234.5,240.0,147.0,336.0,154.5,155.0,,109.0,,739.0,,
4000,Jeanne-d'Arc / Ontario,45.54945734,-73.54164898,,,,,,,,,,,,,,,,,2188.0,,1829.5,,,,,
6700,de la Salle / Ste-Catherine,45.54996329,-73.53443384,,,,,,,,,,,,,,,,,,,,,,,,
7083,Parc de Bullion (de Bullion / Prince-Arthur),45.51560426,-73.57213497,,1044.6666666666667,,787.0,,,,,,,,,,,,,894.8571428571429,,636.0,,,,,
7043,Ernest-Gendreau / du Mont-Royal,45.54971373,-73.56384829,,,,,,,,,,,,,,,,,,,,,,,,
6361,Molson / Beaubien,45.5496859,-73.59115452,,,,,,,,,,,,,,,,,,,,,,,,
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576,,,,,,,,,,,,,,,,,,,,,,,,
6248,St-Dominique / Rachel,45.518593,-73.58156600000001,813.5,836.0,,1278.0,,,,,611.5,602.0,,880.0,1215.0,,,,758.0,1075.0,1307.0,,,,,741.0
6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,995.0,,,,,,,,,,,,,,,,1090.5,,,,,,,
7019,Casgrain / St-Viateur,45.52751293,-73.59879076,,,,,,,,,,,,,,,,,,,,,,,,
7026,Maguire / Henri-Julien,45.527041100000005,-73.59347057,,1413.0,,,,,,,,,,,,,,,,,,,,,,
6218,Prince-Arthur / St-Urbain,45.5125874,-73.57373893,,,,,,,,,738.0,,794.0,,616.6666666666666,,,,,,,,603.0,,,
6015,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,,,,,,,,,,,702.75,,700.5,781.25,846.25,646.5,763.8333333333334,807.6666666666666,741.0,787.0,,667.0,616.0,707.0
6152,Chabot / du Mont-Royal,45.53418509,-73.57358873,,,,,,,,,2013.0,,1297.0,2116.0,1765.0,,,,,1989.0,,,2075.0,,,
6197,de Bordeaux / Masson,45.5389844,-73.58244538,,,,,,,,,,,,,,,1834.0,,,,,,,,,
6335,du Rosaire / St-Hubert,45.54467,-73.621581,,,,,,,,,,,,,,,,,,,,,,,,
6261,Louis Hémon / Rosemont,45.54459856,-73.58822286,,,,,,,,,,,,,,,,,,,,,,,,
6254,Boyer / Bélanger,45.54006,-73.60897,,,,,,,,,,,,,,,,,,,,,,,,
6280,Fairmount / St-Dominique,45.52450499,-73.5941425,,,,,,,,,,,,,,,,,,,1506.0,1087.0,,,,
6227,de l'Esplanade / Laurier,45.52111622,-73.59478354,,,1546.0,,,,,,,,,,,1606.6666666666667,1182.0,1426.0,1061.0,,,1593.0,,,,972.0
6060,Stanley / du Docteur-Penfield,45.50252519,-73.58033717,,,,,,,,625.5,,,,,,,333.0,1311.5,,,,,,,1374.0,
6159,Ann / William,45.49589439,-73.56009722,,690.0,,,,,,,353.0,,318.0,,594.5,436.0,550.0,,,423.0,,388.6666666666667,473.0,445.0,402.5,
6748,Young / Wellington,45.49282531,-73.55797827,453.0,,,,,,,,,391.0,634.0,434.0,603.1666666666666,558.3333333333334,800.3333333333334,474.75,490.0,544.0,661.5,,789.0,556.5,508.0,
6129,de Bordeaux / Sherbrooke,45.52997069,-73.56305301,,,,,,,,,,,,,,,,,,,,,,,,
6106,Papineau / René-Lévesque,45.52114,-73.54926,,,,,,,,,,,973.0,,,,,,,1109.5,,,,,,
6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,,,,,,,,,,,925.0,,,,1570.5,1295.0,,,,,,,,
6154,Marquette / du Mont-Royal,45.53229,-73.57544,,,,1637.0,,,,,,,,,,,1914.5,,1444.0,1466.0,,,,,1175.0,
6364,de Chambly / Rachel,45.54991069,-73.55826259,,,,,,,,,,,,,,,,,,,1329.5,,,,,
6163,Marquette / Laurier,45.53543,-73.5822,,,,,,,,,,,,,,,,,1445.0,2112.0,,,,,,
6272,de Bordeaux / St-Zotique,45.54653901,-73.5986647,,,,,,,,,,,,,,,,,,,,,,,,
6267,Chabot / Beaubien,45.54437555,-73.59564453,,,,,,,,,,,,,,,,,,,,,,,,
6411,Clark / Prince-Arthur,45.51330257,-73.57296109,,,,,,,,,,931.0,849.3333333333334,640.0,584.5,412.0,687.75,630.0,589.0,600.0,871.5,,449.0,,,547.0
6153,Cartier / Marie-Anne,45.532674,-73.571776,,,,,,,,,,,,,,,,,,,,,,,,
6089,Henri-Julien / du Carmel,45.52783941,-73.59482109999999,,,,,,,,,,,1045.0,,,,,,,,,,,,,
7062,William / Robert-Bourassa,45.49716534,-73.55933011,,,,,957.0,,,,,,,,,,,,,,,,,,,
6087,Notre-Dame / de la Montagne,45.49302901,-73.56481791,,,,,,,,,361.0,,307.0,371.5,313.0,439.0,281.75,438.5,402.0,1021.5,335.0,469.0,401.5,438.0,359.0,389.0
6720,Ontario / Viau,45.5594818,-73.535496,,,,,,,,,,,,,,,,,,,,,,,,
6209,Milton / Clark,45.51254135,-73.57067719,690.0,565.3333333333334,,,,,,,,,613.0,626.0,788.0,742.25,537.5,681.5,936.8,,636.5,501.0,399.0,,368.0,
6070,Milton / University,45.5064484,-73.57634872,,,,317.0,288.0,,,323.5,303.5,373.0,371.0,342.0,432.0,361.0,467.2,636.0,362.0,582.7142857142857,284.0,307.5,331.0,323.0,,221.0
6062,Drummond / Ste-Catherine,45.4986393,-73.57422709,,,,,,,,,,,,,,,,138.0,714.5,311.5,248.0,221.0,,172.0,,98.5
6031,St-Antoine / St-François-Xavier,45.50454229,-73.55916381,,,,,,,,,,,,,981.0,1108.5,530.0,,3755.0,916.375,,,,,,
6200,Maguire / St-Laurent,45.52462849,-73.59581083,,,,,,,,,,,,,,1337.0,,,,,2442.5,,,,,
6750,Frontenac / du Mont-Royal,45.53927089,-73.56837183,,,1866.0,,,,,,,,,,,,,,,,,,,,,
7029,Cartier / Masson,45.53802074,-73.58352363,,,,,,,,,,,,,,,,,,,,,,,,
6083,Square Phillips,45.50373772,-73.56810629,,,,,,,,,,,,267.5,276.0,356.0,,,,290.5,,,,,,
6407,Charlevoix / Lionel-Groulx,45.48392802,-73.57731164,,,,885.5,,,,,,661.6666666666666,,920.0,,1864.5,,1091.0,729.0,,,,,930.0,,
6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525,-73.61488796,,,,,,,,,,,1841.0,1788.0,,,,,,,,,,,,
6237,Gilford / de Lanaudière,45.532008000000005,-73.58044446,,,,,,,,,,,,,,,,,,,,,,,,
6155,Garnier / du Mont-Royal,45.53092,-73.57674,,,,,,,,,,,,,,,,,,2014.0,,,,,,
6729,St-André / Ste-Catherine,45.51642655,-73.55811238,742.5,,915.5,,,,,,501.0,,722.0,1274.0,,695.0,930.0,726.5,863.0,793.75,,618.5,,,,
